,vacancy_link,vacancy_text,vacancy_company,vacancy_place,salary_from,salary_to,website
94,https://www.superjob.ru/vakansii/programmist-1s-32585118.html,Программист 1С,Энергосистемы и Технологии,Москва,120000.0,140000.0,www.superjob.ru
95,https://www.superjob.ru/vakansii/programmist-1s-32592855.html,Программист 1С (начинающий специалист),ГЛОБАЛ ФУД,Уфа,30000.0,35000.0,www.superjob.ru
96,https://www.superjob.ru/vakansii/programmist-1s-32675643.html,Программист 1С / Разработчик 1С,SUNLIGHT,Москва,150000.0,,www.superjob.ru
97,https://www.superjob.ru/vakansii/programmist-java-32592763.html,Программист Java,КРИТ,Ижевск,80000.0,,www.superjob.ru
98,https://www.superjob.ru/vakansii/programmist-1s-8-29045330.html,Программист 1С 8.3,ПРИМА,"Москва,Ховрино",120000.0,160000.0,www.superjob.ru
99,https://www.superjob.ru/vakansii/programmist-1s-31043425.html,Программист 1С,КОСМИК - парки развлечений,Москва,,,www.superjob.ru
100,https://www.superjob.ru/vakansii/inzhener-programmist-32592683.html,Инженер-программист,КРИТ,Ижевск,60000.0,,www.superjob.ru
101,https://www.superjob.ru/vakansii/programmist-1s-29038977.html,Программист 1С,"""АЭМ-технологии"" Филиал ""Атоммаш",Волгодонск,,,www.superjob.ru
102,https://www.superjob.ru/vakansii/programmist-mikrokontrollerov-32625389.html,Программист микроконтроллеров,Интеркросс,Рязань,45000.0,,www.superjob.ru
103,https://www.superjob.ru/vakansii/programmist-1s-32017847.html,Программист 1С (тестировщик),Артпласт,Серпухов,,,www.superjob.ru
104,https://www.superjob.ru/vakansii/programmist-1s-8-32625324.html,Программист 1С 8,Кадровое агентство уникальных специалистов,Москва,120000.0,,www.superjob.ru
105,https://www.superjob.ru/vakansii/programmist-30038938.html,Программист,"ГБУЗ ""Сегежская ЦРБ""",Сегежа,20000.0,,www.superjob.ru
106,https://hh.ru/vacancy/34104691,Начинающий программист, Си-Эн-Эс,"Москва, Бутырская ",25000.0,45000.0,www.hh.ru
107,https://hh.ru/vacancy/33904458,Web-программист," Нияма, Сеть ресторанов",Москва,110000.0,,www.hh.ru
108,https://hh.ru/vacancy/32241387,Программист C++,ООО ИНИТИ,"Москва, Серпуховская",160000.0,,www.hh.ru
109,https://hh.ru/vacancy/34188845,Программист 1С (КА 1.1),ООО Комплекс-Бар,"Москва, Алексеевская",150000.0,150000.0,www.hh.ru
110,https://hh.ru/vacancy/32706935,Программист С#, ЕТС груп,"Москва, Улица Академика Янгеля",80000.0,120000.0,www.hh.ru
111,https://hh.ru/vacancy/33497430,Fullstack Программист (С#), 1001 Тур,"Москва, Савеловская",,140000.0,www.hh.ru
112,https://hh.ru/vacancy/34101611,Специалист отдела снабжения/программист,АО Дедал-НВ,Москва,30000.0,40000.0,www.hh.ru
113,https://hh.ru/vacancy/32417827,Программист С++, Группа Компаний «АМЕ»,"Москва, Теплый Стан",,100000.0,www.hh.ru
114,https://hh.ru/vacancy/33795867,Программист,ЗАО МИРРА - М,"Москва, Бауманская",60000.0,80000.0,www.hh.ru
115,https://hh.ru/vacancy/34163217,Программист 1С,ЗАО ЛИНДЕКС,"Москва, Кожуховская и еще 2 ",100000.0,150000.0,www.hh.ru
116,https://hh.ru/vacancy/33811671,Web-программист,ООО Точка Оплаты,Москва,90000.0,150000.0,www.hh.ru
117,https://hh.ru/vacancy/34108035,Программист IOS, ПО Арочные технологии,Москва,80000.0,100000.0,www.hh.ru
118,https://hh.ru/vacancy/33973777,Прикладной программист (Front-end программист), AERODISK,"Москва, Калужская",100000.0,150000.0,www.hh.ru
119,https://hh.ru/vacancy/34105603,Младший разработчик C#, Кворум,Москва,40000.0,60000.0,www.hh.ru
120,https://hh.ru/vacancy/34198397,Программист Python," Insilico Medicine, Inc",Москва,100000.0,180000.0,www.hh.ru
121,https://hh.ru/vacancy/33795207,Программист 1C 8.3, Алмаз-Антей управленческое консультирование,"Москва, ВДНХ",70000.0,160000.0,www.hh.ru
122,https://hh.ru/vacancy/33895815,Front-end React/Angular Developer, Soshace,Москва,200000.0,300000.0,www.hh.ru
123,https://hh.ru/vacancy/34160300,Front-End разработчик,ООО Когнитивные системы,Москва,80000.0,120000.0,www.hh.ru
124,https://hh.ru/vacancy/34184990,Инженер-программист АСУ ТП, DSS Engineering,"Москва, Академическая",60000.0,90000.0,www.hh.ru
125,https://hh.ru/vacancy/34193068,Программист 1С (Junior),ООО РусВент МСК,Москва,70000.0,80000.0,www.hh.ru
